Name,Variation,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
Alakazam,Mega ,Psychic,,600,55,50,65,175,105,150
Machop,,Fighting,,305,70,80,50,35,35,35
Machoke,,Fighting,,405,80,100,70,50,60,45
Machamp,,Fighting,,505,90,130,80,65,85,55
Bellsprout,,Grass,Poison,300,50,75,35,70,30,40
Weepinbell,,Grass,Poison,390,65,90,50,85,45,55
Victreebel,,Grass,Poison,490,80,105,65,100,70,70
Tentacool,,Water,Poison,335,40,40,35,50,100,70
Tentacruel,,Water,Poison,515,80,70,65,80,120,100
Geodude,,Rock,Ground,300,40,80,100,30,30,20
Geodude,Alolan ,Rock,Electric,300,40,80,100,30,30,20
Graveler,,Rock,Ground,390,55,95,115,45,45,35
Graveler,Alolan,Rock,Electric,390,55,95,115,45,45,35
Golem,,Rock,Ground,495,80,120,130,55,65,45
Golem,Alolan ,Rock,Electric,495,80,120,130,55,65,45
Ponyta,,Fire,,410,50,85,55,65,65,90
Ponyta,Galarian ,Psychic,,410,50,85,55,65,65,90
Rapidash,,Fire,,500,65,100,70,80,80,105
Rapidash,Galarian ,Psychic,Fairy,500,65,100,70,80,80,105
Slowpoke,,Water,Psychic,315,90,65,65,40,40,15
Slowpoke,Galarian ,Psychic,,315,90,65,65,40,40,15
Slowbro,,Water,Psychic,490,95,75,110,100,80,30
Slowbro,Mega ,Water,Psychic,590,95,75,180,130,80,30
Slowbro,Galarian ,Poison,Psychic,490,95,100,95,100,70,30
Magnemite,,Electric,Steel,325,25,35,70,95,55,45
Magneton,,Electric,Steel,465,50,60,95,120,70,70
Farfetch'd,,Normal,Flying,377,52,90,55,58,62,60
Farfetch'd,Galarian ,Fighting,,377,52,95,55,58,62,55
Doduo,,Normal,Flying,310,35,85,45,35,35,75
Dodrio,,Normal,Flying,470,60,110,70,60,60,110
Seel,,Water,,325,65,45,55,45,70,45
Dewgong,,Water,Ice,475,90,70,80,70,95,70
Grimer,,Poison,,325,80,80,50,40,50,25
Grimer,Alolan ,Poison,Dark,325,80,80,50,40,50,25
Muk,,Poison,,500,105,105,75,65,100,50
Muk,Alolan ,Poison,Dark,500,105,105,75,65,100,50
Shellder,,Water,,305,30,65,100,45,25,40
Cloyster,,Water,Ice,525,50,95,180,85,45,70
Gastly,,Ghost,Poison,310,30,35,30,100,35,80
Haunter,,Ghost,Poison,405,45,50,45,115,55,95
Gengar,,Ghost,Poison,500,60,65,60,130,75,110
Gengar,Mega ,Ghost,Poison,600,60,65,80,170,95,130
Onix,,Rock,Ground,385,35,45,160,30,45,70
Drowzee,,Psychic,,328,60,48,45,43,90,42
Hypno,,Psychic,,483,85,73,70,73,115,67
Krabby,,Water,,325,30,105,90,25,25,50
Kingler,,Water,,475,55,130,115,50,50,75
Voltorb,,Electric,,330,40,30,50,55,55,100
Electrode,,Electric,,490,60,50,70,80,80,150
Exeggcute,,Grass,Psychic,325,60,40,80,60,45,40
Exeggutor,,Grass,Psychic,530,95,95,85,125,75,55
Exeggutor,Alolan ,Grass,Dragon,530,95,105,85,125,75,45
Cubone,,Ground,,320,50,50,95,40,50,35
Marowak,,Ground,,425,60,80,110,50,80,45
Marowak,Alolan ,Fire,Ghost,425,60,80,110,50,80,45
Hitmonlee,,Fighting,,455,50,120,53,35,110,87
Hitmonchan,,Fighting,,455,50,105,79,35,110,76
Lickitung,,Normal,,385,90,55,75,60,75,30
Koffing,,Poison,,340,40,65,95,60,45,35
Weezing,,Poison,,490,65,90,120,85,70,60
Weezing,Galarian ,Poison,Fairy,490,65,90,120,85,70,60
Rhyhorn,,Ground,Rock,345,80,85,95,30,30,25
Rhydon,,Ground,Rock,485,105,130,120,45,45,40
Chansey,,Normal,,450,250,5,5,35,105,50
Tangela,,Grass,,435,65,55,115,100,40,60
Kangaskhan,,Normal,,490,105,95,80,40,80,90
Kangaskhan,Mega ,Normal,,590,105,125,100,60,100,100
Horsea,,Water,,295,30,40,70,70,25,60
Seadra,,Water,,440,55,65,95,95,45,85
Goldeen,,Water,,320,45,67,60,35,50,63
Seaking,,Water,,450,80,92,65,65,80,68
Staryu,,Water,,340,30,45,55,70,55,85
Starmie,,Water,Psychic,520,60,75,85,100,85,115
Mr.Mime,,Psychic,Fairy,460,40,45,65,100,120,90
Mr.Mime,Galarian ,Ice,Psychic,460,50,65,65,90,90,100
Scyther,,Bug,Flying,500,70,110,80,55,80,105
Jynx,,Ice,Psychic,455,65,50,35,115,95,95
Electabuzz,,Electric,,490,65,83,57,95,85,105
Magmar,,Fire,,495,65,95,57,100,85,93
Pinsir,,Bug,,500,65,125,100,55,70,85
Pinsir,Mega ,Bug,Flying,600,65,155,120,65,90,105
Tauros,,Normal,,490,75,100,95,40,70,110
Magikarp,,Water,,200,20,10,55,15,20,80
Gyarados,,Water,Flying,540,95,125,79,60,100,81
Gyarados,Mega ,Water,Dark,640,95,155,109,70,130,81
Lapras,,Water,Ice,535,130,85,80,85,95,60
Ditto,,Normal,,288,48,48,48,48,48,48
Eevee,,Normal,,325,55,55,50,45,65,55
Eevee,Partner ,Normal,,435,65,75,70,65,85,75
Vaporeon,,Water,,525,130,65,60,110,95,65
Jolteon,,Electric,,525,65,65,60,110,95,130
Flareon,,Fire,,525,65,130,60,95,110,65
Porygon,,Normal,,395,65,60,70,85,75,40
Omanyte,,Rock,Water,355,35,40,100,90,55,35
Omastar,,Rock,Water,495,70,60,125,115,70,55
Kabuto,,Rock,Water,355,30,80,90,55,45,55
Kabutops,,Rock,Water,495,60,115,105,65,70,80
Aerodactyl,,Rock,Flying,515,80,105,65,60,75,130
Aerodactyl,Mega ,Rock,Flying,615,80,135,85,70,95,150
Snorlax,,Normal,,540,160,110,65,65,110,30
Articuno,,Ice,Flying,580,90,85,100,95,125,85
Articuno,Galarian ,Psychic,Flying,580,90,85,85,125,100,95
Zapdos,,Electric,Flying,580,90,90,85,125,90,100
Zapdos,Galarian ,Fighting,Flying,580,90,125,90,85,90,100
Moltres,,Fire,Flying,580,90,100,90,125,85,90
Moltres,Galarian ,Dark,Flying,580,90,85,90,100,125,90
Dratini,,Dragon,,300,41,64,45,50,50,50
Dragonair,,Dragon,,420,61,84,65,70,70,70
Dragonite,,Dragon,Flying,600,91,134,95,100,100,80
Mewtwo,,Psychic,,680,106,110,90,154,90,130
Mewtwo,Mega X,Psychic,Fighting,780,106,190,100,154,100,130
Mewtwo,Mega Y,Psychic,,780,106,150,70,194,120,140
Mew,,Psychic,,600,100,100,100,100,100,100
Chikorita,,Grass,,318,45,49,65,49,65,45
Bayleef,,Grass,,405,60,62,80,63,80,60
Meganium,,Grass,,525,80,82,100,83,100,80
Cyndaquil,,Fire,,309,39,52,43,60,50,65
Quilava,,Fire,,405,58,64,58,80,65,80
Typhlosion,,Fire,,534,78,84,78,109,85,100
Totodile,,Water,,314,50,65,64,44,48,43
Croconaw,,Water,,405,65,80,80,59,63,58
Feraligatr,,Water,,530,85,105,100,79,83,78
Sentret,,Normal,,215,35,46,34,35,45,20
Furret,,Normal,,415,85,76,64,45,55,90
Hoothoot,,Normal,Flying,262,60,30,30,36,56,50
Noctowl,,Normal,Flying,452,100,50,50,86,96,70
Ledyba,,Bug,Flying,265,40,20,30,40,80,55
Ledian,,Bug,Flying,390,55,35,50,55,110,85
Spinarak,,Bug,Poison,250,40,60,40,40,40,30
Ariados,,Bug,Poison,400,70,90,70,60,70,40
Crobat,,Poison,Flying,535,85,90,80,70,80,130
Chinchou,,Water,Electric,330,75,38,38,56,56,67
Lanturn,,Water,Electric,460,125,58,58,76,76,67
Pichu,,Electric,,205,20,40,15,35,35,60
Cleffa,,Fairy,,218,50,25,28,45,55,15
Igglybuff,,Normal,Fairy,210,90,30,15,40,20,15
Togepi,,Fairy,,245,35,20,65,40,65,20
Togetic,,Fairy,Flying,405,55,40,85,80,105,40
Natu,,Psychic,Flying,320,40,50,45,70,45,70
Xatu,,Psychic,Flying,470,65,75,70,95,70,95
Mareep,,Electric,,280,55,40,40,65,45,35
Flaaffy,,Electric,,365,70,55,55,80,60,45
Ampharos,,Electric,,510,90,75,85,115,90,55
Ampharos,Mega ,Electric,Dragon,610,90,95,105,165,110,45
Bellossom,,Grass,,490,75,80,95,90,100,50
Marill,,Water,Fairy,250,70,20,50,20,50,40
Azumarill,,Water,Fairy,420,100,50,80,60,80,50
Sudowoodo,,Rock,,410,70,100,115,30,65,30
Politoed,,Water,,500,90,75,75,90,100,70
Hoppip,,Grass,Flying,250,35,35,40,35,55,50
Skiploom,,Grass,Flying,340,55,45,50,45,65,80
Jumpluff,,Grass,Flying,460,75,55,70,55,95,110
Aipom,,Normal,,360,55,70,55,40,55,85
Sunkern,,Grass,,180,30,30,30,30,30,30
Sunflora,,Grass,,425,75,75,55,105,85,30
Yanma,,Bug,Flying,390,65,65,45,75,45,95
Wooper,,Water,Ground,210,55,45,45,25,25,15
Quagsire,,Water,Ground,430,95,85,85,65,65,35
Espeon,,Psychic,,525,65,65,60,130,95,110
Umbreon,,Dark,,525,95,65,110,60,130,65
Murkrow,,Dark,Flying,405,60,85,42,85,42,91
Slowking,,Water,Psychic,490,95,75,80,100,110,30
Slowking,Galarian ,Poison,Psychic,490,95,65,80,110,110,30
Misdreavus,,Ghost,,435,60,60,60,85,85,85
Unown,,Psychic,,336,48,72,48,72,48,48
Wobbuffet,,Psychic,,405,190,33,58,33,58,33
Girafarig,,Normal,Psychic,455,70,80,65,90,65,85
Pineco,,Bug,,290,50,65,90,35,35,15
Forretress,,Bug,Steel,465,75,90,140,60,60,40
Dunsparce,,Normal,,415,100,70,70,65,65,45
Gligar,,Ground,Flying,430,65,75,105,35,65,85
Steelix,,Steel,Ground,510,75,85,200,55,65,30
Steelix,Mega ,Steel,Ground,610,75,125,230,55,95,30
Snubbull,,Fairy,,300,60,80,50,40,40,30
Granbull,,Fairy,,450,90,120,75,60,60,45
Qwilfish,,Water,Poison,440,65,95,85,55,55,85
Scizor,,Bug,Steel,500,70,130,100,55,80,65
Scizor,Mega ,Bug,Steel,600,70,150,140,65,100,75
Shuckle,,Bug,Rock,505,20,10,230,10,230,5
Heracross,,Bug,Fighting,500,80,125,75,40,95,85
Heracross,Mega ,Bug,Fighting,600,80,185,115,40,105,75
Sneasel,,Dark,Ice,430,55,95,55,35,75,115
Teddiursa,,Normal,,330,60,80,50,50,50,40
Ursaring,,Normal,,500,90,130,75,75,75,55
Slugma,,Fire,,250,40,40,40,70,40,20
Magcargo,,Fire,Rock,430,60,50,120,90,80,30
Swinub,,Ice,Ground,250,50,50,40,30,30,50
Piloswine,,Ice,Ground,450,100,100,80,60,60,50
Corsola,,Water,Rock,410,65,55,95,65,95,35
Corsola,Galarian ,Ghost,,410,60,55,100,65,100,30
Remoraid,,Water,,300,35,65,35,65,35,65
Octillery,,Water,,480,75,105,75,105,75,45
Delibird,,Ice,Flying,330,45,55,45,65,45,75
Mantine,,Water,Flying,485,85,40,70,80,140,70
Skarmory,,Steel,Flying,465,65,80,140,40,70,70
Houndour,,Dark,Fire,330,45,60,30,80,50,65
Houndoom,,Dark,Fire,500,75,90,50,110,80,95
Houndoom,Mega ,Dark,Fire,600,75,90,90,140,90,115
Kingdra,,Water,Dragon,540,75,95,95,95,95,85
Phanpy,,Ground,,330,90,60,60,40,40,40
Donphan,,Ground,,500,90,120,120,60,60,50
Porygon2,,Normal,,515,85,80,90,105,95,60
Stantler,,Normal,,465,73,95,62,85,65,85
Smeargle,,Normal,,250,55,20,35,20,45,75
Tyrogue,,Fighting,,210,35,35,35,35,35,35
Hitmontop,,Fighting,,455,50,95,95,35,110,70
Smoochum,,Ice,Psychic,305,45,30,15,85,65,65
Elekid,,Electric,,360,45,63,37,65,55,95
Magby,,Fire,,365,45,75,37,70,55,83
Miltank,,Normal,,490,95,80,105,40,70,100
Blissey,,Normal,,540,255,10,10,75,135,55
Raikou,,Electric,,580,90,85,75,115,100,115
Entei,,Fire,,580,115,115,85,90,75,100
Suicune,,Water,,580,100,75,115,90,115,85
Larvitar,,Rock,Ground,300,50,64,50,45,50,41
Pupitar,,Rock,Ground,410,70,84,70,65,70,51
Tyranitar,,Rock,Dark,600,100,134,110,95,100,61
Tyranitar,Mega ,Rock,Dark,700,100,164,150,95,120,71
Lugia,,Psychic,Flying,680,106,90,130,90,154,110
Ho-oh,,Fire,Flying,680,106,130,90,110,154,90
Celebi,,Psychic,Grass,600,100,100,100,100,100,100
Treecko,,Grass,,310,40,45,35,65,55,70
Grovyle,,Grass,,405,50,65,45,85,65,95
Sceptile,,Grass,,530,70,85,65,105,85,120
Sceptile,Mega ,Grass,Dragon,630,70,110,75,145,85,145
Torchic,,Fire,,310,45,60,40,70,50,45
Combusken,,Fire,Fighting,405,60,85,60,85,60,55
Blaziken,,Fire,Fighting,530,80,120,70,110,70,80
Blaziken,Mega ,Fire,Fighting,630,80,160,80,130,80,100
Mudkip,,Water,,310,50,70,50,50,50,40
Marshtomp,,Water,Ground,405,70,85,70,60,70,50
Swampert,,Water,Ground,535,100,110,90,85,90,60
Swampert,Mega ,Water,Ground,635,100,150,110,95,110,70
Poochyena,,Dark,,220,35,55,35,30,30,35
Mightyena,,Dark,,420,70,90,70,60,60,70
Zigzagoon,,Normal,,240,38,30,41,30,41,60
Zigzagoon,Galarian ,Dark,Normal,240,38,30,41,30,41,60
Linoone,,Normal,,420,78,70,61,50,61,100
Linoone,Galarian ,Dark,Normal,420,78,70,61,50,61,100
Wurmple,,Bug,,195,45,45,35,20,30,20
Silcoon,,Bug,,205,50,35,55,25,25,15
Beautifly,,Bug,Flying,395,60,70,50,100,50,65
Cascoon,,Bug,,205,50,35,55,25,25,15
Dustox,,Bug,Poison,385,60,50,70,50,90,65
Lotad,,Water,Grass,220,40,30,30,40,50,30
Lombre,,Water,Grass,340,60,50,50,60,70,50
Ludicolo,,Water,Grass,480,80,70,70,90,100,70
Seedot,,Grass,,220,40,40,50,30,30,30
Nuzleaf,,Grass,Dark,340,70,70,40,60,40,60
Shiftry,,Grass,Dark,480,90,100,60,90,60,80
Taillow,,Normal,Flying,270,40,55,30,30,30,85
Swellow,,Normal,Flying,455,60,85,60,75,50,125
Wingull,,Water,Flying,270,40,30,30,55,30,85
Pelipper,,Water,Flying,440,60,50,100,95,70,65
Ralts,,Psychic,Fairy,198,28,25,25,45,35,40
Kirlia,,Psychic,Fairy,278,38,35,35,65,55,50
Gardevoir,,Psychic,Fairy,518,68,65,65,125,115,80
Gardevoir,Mega ,Psychic,Fairy,618,68,85,65,165,135,100
Surskit,,Bug,Water,269,40,30,32,50,52,65
Masquerain,,Bug,Flying,454,70,60,62,100,82,80
Shroomish,,Grass,,295,60,40,60,40,60,35
Breloom,,Grass,Fighting,460,60,130,80,60,60,70
Slakoth,,Normal,,280,60,60,60,35,35,30
Vigoroth,,Normal,,440,80,80,80,55,55,90
Slaking,,Normal,,670,150,160,100,95,65,100
Nincada,,Bug,Ground,266,31,45,90,30,30,40
Ninjask,,Bug,Flying,456,61,90,45,50,50,160
Shedinja,,Bug,Ghost,236,1,90,45,30,30,40
Whismur,,Normal,,240,64,51,23,51,23,28
Loudred,,Normal,,360,84,71,43,71,43,48
Exploud,,Normal,,490,104,91,63,91,73,68
Makuhita,,Fighting,,237,72,60,30,20,30,25
Hariyama,,Fighting,,474,144,120,60,40,60,50
Azurill,,Normal,Fairy,190,50,20,40,20,40,20
Nosepass,,Rock,,375,30,45,135,45,90,30
Skitty,,Normal,,260,50,45,45,35,35,50
Delcatty,,Normal,,400,70,65,65,55,55,90
Sableye,,Dark,Ghost,380,50,75,75,65,65,50
Sableye,Mega ,Dark,Ghost,480,50,85,125,85,115,20
Mawile,,Steel,Fairy,380,50,85,85,55,55,50
Mawile,Mega ,Steel,Fairy,480,50,105,125,55,95,50
Aron,,Steel,Rock,330,50,70,100,40,40,30
Lairon,,Steel,Rock,430,60,90,140,50,50,40
Aggron,,Steel,Rock,530,70,110,180,60,60,50
Aggron,Mega ,Steel,,630,70,140,230,60,80,50
Meditite,,Fighting,Psychic,280,30,40,55,40,55,60
Medicham,,Fighting,Psychic,410,60,60,75,60,75,80
Medicham,Mega ,Fighting,Psychic,510,60,100,85,80,85,100
Electrike,,Electric,,295,40,45,40,65,40,65
Manectric,,Electric,,475,70,75,60,105,60,105
Manectric,Mega ,Electric,,575,70,75,80,135,80,135
Plusle,,Electric,,405,60,50,40,85,75,95
Minun,,Electric,,405,60,40,50,75,85,95
Volbeat,,Bug,,430,65,73,75,47,85,85
Illumise,,Bug,,430,65,47,75,73,85,85
Roselia,,Grass,Poison,400,50,60,45,100,80,65
Gulpin,,Poison,,302,70,43,53,43,53,40
Swalot,,Poison,,467,100,73,83,73,83,55
Carvanha,,Water,Dark,305,45,90,20,65,20,65
Sharpedo,,Water,Dark,460,70,120,40,95,40,95
Sharpedo,Mega ,Water,Dark,560,70,140,70,110,65,105
Wailmer,,Water,,400,130,70,35,70,35,60
Wailord,,Water,,500,170,90,45,90,45,60
Numel,,Fire,Ground,305,60,60,40,65,45,35
Camerupt,,Fire,Ground,460,70,100,70,105,75,40
Camerupt,Mega ,Fire,Ground,560,70,120,100,145,105,20
Torkoal,,Fire,,470,70,85,140,85,70,20
Spoink,,Psychic,,330,60,25,35,70,80,60
Grumpig,,Psychic,,470,80,45,65,90,110,80
Spinda,,Normal,,360,60,60,60,60,60,60
Trapinch,,Ground,,290,45,100,45,45,45,10
Vibrava,,Ground,Dragon,340,50,70,50,50,50,70
Flygon,,Ground,Dragon,520,80,100,80,80,80,100
Cacnea,,Grass,,335,50,85,40,85,40,35
Cacturne,,Grass,Dark,475,70,115,60,115,60,55
Swablu,,Normal,Flying,310,45,40,60,40,75,50
Altaria,,Dragon,Flying,490,75,70,90,70,105,80
Altaria,Mega ,Dragon,Fairy,590,75,110,110,110,105,80
Zangoose,,Normal,,458,73,115,60,60,60,90
Seviper,,Poison,,458,73,100,60,100,60,65
Lunatone,,Rock,Psychic,460,90,55,65,95,85,70
Solrock,,Rock,Psychic,460,90,95,85,55,65,70
Barboach,,Water,Ground,288,50,48,43,46,41,60
Whiscash,,Water,Ground,468,110,78,73,76,71,60
Corphish,,Water,,308,43,80,65,50,35,35
Crawdaunt,,Water,Dark,468,63,120,85,90,55,55
Baltoy,,Ground,Psychic,300,40,40,55,40,70,55
Claydol,,Ground,Psychic,500,60,70,105,70,120,75
Lileep,,Rock,Grass,355,66,41,77,61,87,23
Cradily,,Rock,Grass,495,86,81,97,81,107,43
Anorith,,Rock,Bug,355,45,95,50,40,50,75
Armaldo,,Rock,Bug,495,75,125,100,70,80,45
Feebas,,Water,,200,20,15,20,10,55,80
Milotic,,Water,,540,95,60,79,100,125,81
Castform,,Normal,,420,70,70,70,70,70,70
Castform,Sunny ,Fire,,420,70,70,70,70,70,70
Castform,Rainy ,Water,,420,70,70,70,70,70,70
Castform,Snowy ,Ice,,420,70,70,70,70,70,70
Kecleon,,Normal,,440,60,90,70,60,120,40
Shuppet,,Ghost,,295,44,75,35,63,33,45
Banette,,Ghost,,455,64,115,65,83,63,65
Banette,Mega ,Ghost,,555,64,165,75,93,83,75
Duskull,,Ghost,,295,20,40,90,30,90,25
Dusclops,,Ghost,,455,40,70,130,60,130,25
Tropius,,Grass,Flying,460,99,68,83,72,87,51
Chimecho,,Psychic,,455,75,50,80,95,90,65
Absol,,Dark,,465,65,130,60,75,60,75
Absol,Mega ,Dark,,565,65,150,60,115,60,115
Wynaut,,Psychic,,260,95,23,48,23,48,23
Snorunt,,Ice,,300,50,50,50,50,50,50
Glalie,,Ice,,480,80,80,80,80,80,80
Glalie,Mega ,Ice,,580,80,120,80,120,80,100
Spheal,,Ice,Water,290,70,40,50,55,50,25
Sealeo,,Ice,Water,410,90,60,70,75,70,45
Walrein,,Ice,Water,530,110,80,90,95,90,65
Clamperl,,Water,,345,35,64,85,74,55,32
Huntail,,Water,,485,55,104,105,94,75,52
Gorebyss,,Water,,485,55,84,105,114,75,52
Relicanth,,Water,Rock,485,100,90,130,45,65,55
Luvdisc,,Water,,330,43,30,55,40,65,97
Bagon,,Dragon,,300,45,75,60,40,30,50
Shelgon,,Dragon,,420,65,95,100,60,50,50
Salamence,,Dragon,Flying,600,95,135,80,110,80,100
Salamence,Mega ,Dragon,Flying,700,95,145,130,120,90,120
Beldum,,Steel,Psychic,300,40,55,80,35,60,30
Metang,,Steel,Psychic,420,60,75,100,55,80,50
Metagross,,Steel,Psychic,600,80,135,130,95,90,70
Metagross,Mega ,Steel,Psychic,700,80,145,150,105,110,110
Regirock,,Rock,,580,80,100,200,50,100,50
Regice,,Ice,,580,80,50,100,100,200,50
Registeel,,Steel,,580,80,75,150,75,150,50
Latias,,Dragon,Psychic,600,80,80,90,110,130,110
Latias,Mega ,Dragon,Psychic,700,80,100,120,140,150,110
Latios,,Dragon,Psychic,600,80,90,80,130,110,110
Latios,Mega ,Dragon,Psychic,700,80,130,100,160,120,110
Kyogre,,Water,,670,100,100,90,150,140,90
Kyogre,Primal ,Water,,770,100,150,90,180,160,90
Groudon,,Ground,,670,100,150,140,100,90,90
Groudon,Primal ,Ground,Fire,770,100,180,160,150,90,90
Rayquaza,,Dragon,Flying,680,105,150,90,150,90,95
Rayquaza,Mega ,Dragon,Flying,780,105,180,100,180,100,115
Jirachi,,Steel,Psychic,600,100,100,100,100,100,100
Deoxys,Normal ,Psychic,,600,50,150,50,150,50,150
Deoxys,Attack ,Psychic,,600,50,180,20,180,20,150
Deoxys,Defense ,Psychic,,600,50,70,160,70,160,90
Deoxys,Speed ,Psychic,,600,50,95,90,95,90,180
Turtwig,,Grass,,318,55,68,64,45,55,31
Grotle,,Grass,,405,75,89,85,55,65,36
Torterra,,Grass,Ground,525,95,109,105,75,85,56
Chimchar,,Fire,,309,44,58,44,58,44,61
Monferno,,Fire,Fighting,405,64,78,52,78,52,81
Infernape,,Fire,Fighting,534,76,104,71,104,71,108
Piplup,,Water,,314,53,51,53,61,56,40
Prinplup,,Water,,405,64,66,68,81,76,50
Empoleon,,Water,Steel,530,84,86,88,111,101,60
Starly,,Normal,Flying,245,40,55,30,30,30,60
Staravia,,Normal,Flying,340,55,75,50,40,40,80
Staraptor,,Normal,Flying,485,85,120,70,50,60,100
Bidoof,,Normal,,250,59,45,40,35,40,31
Bibarel,,Normal,Water,410,79,85,60,55,60,71
Kricketot,,Bug,,194,37,25,41,25,41,25
Kricketune,,Bug,,384,77,85,51,55,51,65
Shinx,,Electric,,263,45,65,34,40,34,45
Luxio,,Electric,,363,60,85,49,60,49,60
Luxray,,Electric,,523,80,120,79,95,79,70
Budew,,Grass,Poison,280,40,30,35,50,70,55
Roserade,,Grass,Poison,515,60,70,65,125,105,90
Cranidos,,Rock,,350,67,125,40,30,30,58
Rampardos,,Rock,,495,97,165,60,65,50,58
Shieldon,,Rock,Steel,350,30,42,118,42,88,30
Bastiodon,,Rock,Steel,495,60,52,168,47,138,30
Burmy,,Bug,,224,40,29,45,29,45,36
