Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,66200.000000,66400.000000,65400.000000,65500.000000,65101.925781,19355755
2022-06-08,65400.000000,65700.000000,65300.000000,65300.000000,64903.140625,12483180
2022-06-09,65100.000000,65200.000000,64500.000000,65200.000000,64803.750000,25790725
2022-06-10,64000.000000,64400.000000,63800.000000,63800.000000,63412.257813,22193552
2022-06-13,62400.000000,62800.000000,62100.000000,62100.000000,61722.589844,22157816
2022-06-14,61200.000000,62200.000000,61100.000000,61900.000000,61523.804688,24606419
2022-06-15,61300.000000,61500.000000,60200.000000,60700.000000,60331.097656,26811224
2022-06-16,61300.000000,61800.000000,60500.000000,60900.000000,60529.882813,23394895
2022-06-17,59400.000000,59900.000000,59400.000000,59800.000000,59436.566406,29053450
2022-06-20,59800.000000,59900.000000,58100.000000,58700.000000,58343.253906,34111306
2022-06-21,58700.000000,59200.000000,58200.000000,58500.000000,58144.468750,25148109
2022-06-22,59000.000000,59100.000000,57600.000000,57600.000000,57249.937500,23334687
2022-06-23,57700.000000,58000.000000,56800.000000,57400.000000,57051.152344,28338608
2022-06-24,57900.000000,59100.000000,57700.000000,58400.000000,58045.074219,23256103
2022-06-27,59000.000000,59900.000000,58300.000000,58800.000000,58442.644531,18122236
2022-06-28,59200.000000,59500.000000,58700.000000,59400.000000,59039.000000,13540538
2022-06-29,58500.000000,58800.000000,58000.000000,58000.000000,58000.000000,14677138
2022-06-30,57200.000000,57600.000000,57000.000000,57000.000000,57000.000000,18915142
2022-07-01,56900.000000,57500.000000,55900.000000,56200.000000,56200.000000,24982097
2022-07-04,56100.000000,57400.000000,55700.000000,57100.000000,57100.000000,17807126
2022-07-05,57600.000000,58200.000000,57200.000000,57200.000000,57200.000000,14216539
2022-07-06,57300.000000,57300.000000,56400.000000,56400.000000,56400.000000,16820461
2022-07-07,56400.000000,58700.000000,56300.000000,58200.000000,58200.000000,21322833
2022-07-08,58600.000000,59300.000000,58200.000000,58700.000000,58700.000000,15339271
2022-07-11,59300.000000,59600.000000,58700.000000,58800.000000,58800.000000,13042624
2022-07-12,58600.000000,58700.000000,58100.000000,58100.000000,58100.000000,9336061
2022-07-13,58300.000000,58600.000000,58000.000000,58000.000000,58000.000000,10841315
2022-07-14,57500.000000,58200.000000,57400.000000,57500.000000,57500.000000,15067012
2022-07-15,58400.000000,60000.000000,58100.000000,60000.000000,60000.000000,18685583
2022-07-18,60600.000000,62000.000000,60500.000000,61900.000000,61900.000000,20832517
2022-07-19,61400.000000,61500.000000,60200.000000,60900.000000,60900.000000,15248261
2022-07-20,61800.000000,62100.000000,60500.000000,60500.000000,60500.000000,16782238
2022-07-21,61100.000000,61900.000000,60700.000000,61800.000000,61800.000000,12291374
2022-07-22,61800.000000,62200.000000,61200.000000,61300.000000,61300.000000,10261310
2022-07-25,60900.000000,61900.000000,60800.000000,61100.000000,61100.000000,9193681
2022-07-26,60800.000000,61900.000000,60800.000000,61700.000000,61700.000000,6597211
2022-07-27,61300.000000,61900.000000,61200.000000,61800.000000,61800.000000,7320997
2022-07-28,62300.000000,62600.000000,61600.000000,61900.000000,61900.000000,10745302
2022-07-29,62400.000000,62600.000000,61300.000000,61400.000000,61400.000000,15093120
